"","YEAR","DATE","ACTIVITY","mean","sd","n"
"1",2019,20190102,"HHACT",100.936912481882,120.976017255152,20
"2",2019,20190102,"PHONE",0.755450880998304,4.70030004044731,20
"3",2019,20190102,"RELIG",13.4515272580715,51.8186644974172,20
"4",2019,20190102,"SOCIAL",222.946889878759,152.443639949905,20
"5",2019,20190102,"SPORTS",7.27222581962945,21.2692771373252,20
"6",2019,20190102,"TRAVEL",79.6307670630717,63.3486029451116,20
"7",2019,20190102,"WORK",203.933079158755,229.924393070886,20
"8",2019,20190102,"LEISATTEND",0,0,20
"9",2019,20190102,"LEISSOCCOM",20.935556552479,29.0539386558594,20
"10",2019,20190103,"HHACT",39.5058398853042,51.0989413234464,17
"11",2019,20190103,"PHONE",6.37461532579384,30.6770190232488,17
"12",2019,20190103,"RELIG",2.23486117368211,9.908244680923,17
"13",2019,20190103,"SOCIAL",210.54534739513,146.949154251099,17
"14",2019,20190103,"SPORTS",15.1207948758995,54.1663521050008,17
"15",2019,20190103,"TRAVEL",68.5060583953915,49.2850008086051,17
"16",2019,20190103,"WORK",390.12052775817,290.623329204066,17
"17",2019,20190103,"LEISATTEND",0,0,17
"18",2019,20190103,"LEISSOCCOM",17.057620290005,39.301967969497,17
"19",2019,20190104,"HHACT",121.358113789605,105.522985967586,13
"20",2019,20190104,"PHONE",3.97919006936274,11.8698611694763,13
"21",2019,20190104,"RELIG",0,0,13
"22",2019,20190104,"SOCIAL",242.522301504007,189.908591348752,13
"23",2019,20190104,"SPORTS",3.23145489656772,15.228815377746,13
"24",2019,20190104,"TRAVEL",64.762883147932,44.979317411332,13
"25",2019,20190104,"WORK",245.022621761186,218.798937858182,13
"26",2019,20190104,"LEISATTEND",0,0,13
"27",2019,20190104,"LEISSOCCOM",19.8181234569082,60.2869933949258,13
"28",2019,20190105,"HHACT",110.277026805582,125.637587734637,49
"29",2019,20190105,"PHONE",6.64914695576006,17.3299039976085,49
"30",2019,20190105,"RELIG",43.9387474921926,133.37175277914,49
"31",2019,20190105,"SOCIAL",339.298238541089,222.253628721598,49
"32",2019,20190105,"SPORTS",20.4808720246806,62.2091483087385,49
"33",2019,20190105,"TRAVEL",84.7019025630346,146.420033677889,49
"34",2019,20190105,"WORK",96.0112362372506,199.850942319083,49
"35",2019,20190105,"LEISATTEND",8.13352300839579,45.907989014737,49
"36",2019,20190105,"LEISSOCCOM",35.7807438515633,73.5285888858696,49
"37",2019,20190106,"HHACT",107.247911618024,125.225525474133,72
"38",2019,20190106,"PHONE",4.4115622083735,15.2912707806596,72
"39",2019,20190106,"RELIG",74.4373293523971,116.485648609125,72
"40",2019,20190106,"SOCIAL",352.371771976234,179.885234233925,72
"41",2019,20190106,"SPORTS",41.127732938516,77.5773390055983,72
"42",2019,20190106,"TRAVEL",84.8331831369807,76.486552243519,72
"43",2019,20190106,"WORK",49.9961500560247,130.491101075783,72
"44",2019,20190106,"LEISATTEND",4.44429636456708,32.2751115237919,72
"45",2019,20190106,"LEISSOCCOM",56.6265180243954,89.3000776159729,72
"46",2019,20190107,"HHACT",91.4590399317237,115.963786472507,44
"47",2019,20190107,"PHONE",2.43362561142742,13.8656566538806,44
"48",2019,20190107,"RELIG",0.325103522566045,2.52910619834081,44
"49",2019,20190107,"SOCIAL",249.216696902594,190.143261595557,44
"50",2019,20190107,"SPORTS",25.5938082837385,82.976322239638,44
"51",2019,20190107,"TRAVEL",68.2533558591968,63.1301136289854,44
"52",2019,20190107,"WORK",296.5870719282,268.778243396365,44
"53",2019,20190107,"LEISATTEND",0,0,44
"54",2019,20190107,"LEISSOCCOM",56.0491821975567,126.337004607278,44
"55",2019,20190108,"HHACT",74.4987860439071,63.7079387881682,21
"56",2019,20190108,"PHONE",3.70490547828887,11.905446598221,21
"57",2019,20190108,"RELIG",1.89128928070652,10.4833383127397,21
"58",2019,20190108,"SOCIAL",175.686074356171,143.95520546078,21
"59",2019,20190108,"SPORTS",13.9615930091284,32.8131392734432,21
"60",2019,20190108,"TRAVEL",75.9684232899117,54.6493965114389,21
"61",2019,20190108,"WORK",344.518726268601,239.150201497558,21
"62",2019,20190108,"LEISATTEND",0,0,21
"63",2019,20190108,"LEISSOCCOM",25.260970272799,80.9898337588089,21
"64",2019,20190109,"HHACT",133.829422685708,190.083735384079,16
"65",2019,20190109,"PHONE",1.68695356768942,6.59986995172667,16
"66",2019,20190109,"RELIG",4.84148775132782,21.3972082769413,16
"67",2019,20190109,"SOCIAL",139.242389373344,97.3398443289019,16
"68",2019,20190109,"SPORTS",13.619594140808,26.6654329796195,16
"69",2019,20190109,"TRAVEL",65.1622443200156,28.0654739273628,16
"70",2019,20190109,"WORK",339.153649118397,257.442529174364,16
"71",2019,20190109,"LEISATTEND",0,0,16
"72",2019,20190109,"LEISSOCCOM",6.18809181597702,26.3944853062011,16
"73",2019,20190110,"HHACT",124.340958337899,174.406585052702,22
"74",2019,20190110,"PHONE",2.42064299039017,11.8058912195479,22
"75",2019,20190110,"RELIG",0,0,22
