"","date","tsne1","tsne2","MONTH","YEAR","Caring for Household","Caring for Non-Household","Education","Eating and Drinking","Civic Duties","Household Activities","Household Services","Personal Care","Phone Calls","Care Services","Consumer Purchasing","Religious/Spiritual Activities","Socializing and Leisure","Sports and Exercise","Traveling","Volunteering","Work","time_period","date_label"
"1","2019-01",-7.78291832828712,45.3247221112903,1,"2019",21.6252933944571,5.87441487151348,34.8463429072379,63.8710766733274,0.328490240074047,97.2686377290784,0.390059800862007,581.090422184727,6.98275227913471,5.65851953104129,18.4765014305266,11.4239658496934,277.034334703064,15.6047353402734,70.3175154691803,6.97147995107005,209.322884708616,"Pre-COVID Peak","Jan 2019"
"2","2021-01",54.4725267036062,-34.000276340802,1,"2021",25.5392050761609,5.97185295171778,37.2920848426139,63.2263152263631,0.435553789768146,109.44460038664,0.542615961898887,592.546291981711,12.2677713924422,5.84400273137219,15.8151508576431,7.6138043785617,306.765654778359,14.1367989818979,45.0286762617157,5.72795153970168,182.561693815775,"COVID Peak","Jan 2021"
"3","2019-02",4.90374749831663,37.6207518244802,2,"2019",26.2666541591801,10.6090963910472,34.3982188913162,65.3492826318631,0.535514536167422,100.148281116195,1.3646476634576,574.085738379235,5.78475769703154,5.67245088344162,19.3800570492836,8.28634634461084,279.994287054562,18.3804616674596,64.1039140011433,6.31939545581139,203.695630153472,"Pre-COVID Peak","Feb 2019"
"4","2021-02",44.2302847570503,20.9950422146116,2,"2021",23.9716637063129,6.64601301420887,30.7175862855613,67.6596228419806,0.0106676994440313,112.163791171443,0.547754790521336,596.33381447101,11.2749426841018,4.04611342390619,14.4420564547762,4.96216789219722,285.664131090486,20.8178223072979,43.8409778802574,3.45780632846881,204.235068428964,"Post-COVID Peak","Feb 2021"
"5","2019-03",3.50392487647081,50.3540839705006,3,"2019",24.696886881184,6.55725419021452,33.0876772596189,66.1432136311121,0.445330021205228,96.7589537852128,0.317505163300498,575.395440065876,7.6038469333457,7.02153306219819,20.6205565091043,8.04814828733868,276.907170273402,17.0983749942344,72.2074107481454,8.68669368377854,202.548855900182,"Pre-COVID Peak","Mar 2019"
"6","2021-03",37.444585514811,42.3786271345707,3,"2021",26.8648676617725,6.31487038701191,30.951377097433,63.281381245932,0.36713848171891,106.18177819403,1.10999936523723,576.714728243805,6.70973356167989,5.76256158692786,15.8779254274339,7.51640040858286,286.649381797458,21.0994535133726,49.693590238708,4.61828421177132,221.400009046283,"Post-COVID Peak","Mar 2021"
"7","2019-04",-45.6433150692266,20.7106973581098,4,"2019",23.0224828744694,6.50084640701799,27.1487502688813,61.4147208595229,0.669562458497048,109.625523369111,1.3727597031572,566.996307495193,6.86191871757333,4.25958295463942,22.4659293861652,8.17289657648653,266.008491206951,18.8897720180715,80.9248934928798,8.79303314906545,215.817699335584,"Pre-COVID Peak","Apr 2019"
"8","2021-04",25.5863076798482,22.2905088890988,4,"2021",22.7602719440189,7.57807876105548,31.4553837843014,66.6614929697851,0.122979078515584,115.869892612033,1.05307729100818,575.311011824593,12.9839950414016,4.50348413195843,21.11614607571,6.02152527653411,284.906146707368,24.5262748496705,51.85613243628,6.78702684898303,197.593763130201,"Post-COVID Peak","Apr 2021"
"9","2019-05",-56.2370539151065,26.2628112092711,5,"2019",27.2346399977022,8.92681500110465,27.7660139912233,59.4883277644087,0.00214459662281044,105.540457912494,0.875082880504828,570.844240830922,6.21012458062726,5.14537900317715,20.4507728284605,7.06066658248394,268.13104201645,19.4816775248597,78.3260820021561,4.63810935234237,217.992880464842,"Pre-COVID Peak","May 2019"
"10","2021-05",-0.738236438389394,-43.5502721458279,5,"2021",26.6011380235075,13.8568894811337,8.56760665448893,67.9242487804696,0.156193905862329,127.593971192887,1.29519038674324,570.889694143892,9.23042530730589,4.58699674398022,21.5779147093921,5.53756355051946,299.014051505029,24.3896638155143,55.753775502099,6.06641387487539,189.393065248131,"Post-COVID Peak","May 2021"
