"","MONTH","ACTIVITY","mean","sd","n"
"1","Overall","Caring for Household",25.9261956045428,79.6323396021334,8647
"2","Overall","Caring for Non-Household",7.78984312678396,48.9411318383508,8647
"3","Overall","Education",24.7576727569477,98.7080623603547,8647
"4","Overall","Eating and Drinking",62.9446410813452,45.7383435061251,8647
"5","Overall","Civic Duties",0.183545282723951,3.80653470060849,8647
"6","Overall","Household Activities",117.966792265727,141.74981980806,8647
"7","Overall","Household Services",0.838826654621867,9.39342472090123,8647
"8","Overall","Personal Care",580.429780574833,137.149142292574,8647
"9","Overall","Phone Calls",9.00089783613235,33.9732670131302,8647
"10","Overall","Care Services",5.73178328374059,30.7929398597232,8647
"11","Overall","Consumer Purchasing",17.4343705314263,40.345967742606,8647
"12","Overall","Religious/Spiritual Activities",6.11590541292365,30.1171479385476,8647
"13","Overall","Socializing and Leisure",302.334823457634,220.514681446735,8647
"14","Overall","Sports and Exercise",20.9741325866655,57.4504698670382,8647
"15","Overall","Traveling",51.3182089152325,68.736117561053,8647
"16","Overall","Volunteering",5.46227554745103,36.123083095973,8647
"17","Overall","Work",188.782026669774,253.10360512858,8647
"18","1","Caring for Household",24.2457689468578,62.5396657663502,790
"19","1","Caring for Non-Household",6.19938709927867,47.1252564637893,790
"20","1","Education",17.891717044153,77.839399112347,790
"21","1","Eating and Drinking",57.2722828614549,41.3225520663098,790
"22","1","Civic Duties",0.308151945380486,5.22899227017591,790
"23","1","Household Activities",98.3050216058996,125.076796824711,790
"24","1","Household Services",1.0532189558391,8.66308180934326,790
"25","1","Personal Care",589.293978021765,152.966292343253,790
"26","1","Phone Calls",4.48939970467607,20.336851128779,790
"27","1","Care Services",8.98908329445473,40.4723915273966,790
"28","1","Consumer Purchasing",16.119600618039,36.7251238759053,790
"29","1","Religious/Spiritual Activities",9.25349562642286,38.71689702027,790
"30","1","Socializing and Leisure",291.11479957116,211.385728130196,790
"31","1","Sports and Exercise",15.462409065865,44.047268988496,790
